English,Turkish
francis,Francis
angels,melekler
hers,onunki
classes,sınıf
mm-hm,mm-hm
signature,imza
complain,şikayet etmek
blah,fatura
monitor,izlemek
options,seçenekler
claims,iddialar
flies,sineklik
pat,patlamak
britain,Britanya
hid,saklamak
wailing,ağlama
listened,dinlenmiş
countries,ülkeler
vic,Vic
yell,bağırmak
rats,fareler
wondered,merak
smooth,düz
resist,direnmek
companies,şirket
fantasy,fantezi
passport,pasaport
pitch,saha
hammer,çekiç
homicide,cinayet
casey,Casey
holds,tutar
flew,uçtu
jacob,Jacob
noon,öğle vakti
helicopter,helikopter
dishes,bulaşıklar
spin,döndürmek
charm,cazibe
slap,tokat
apply,uygulamak
fools,aptallar
screeching,cırtlak
discover,keşfetmek
previous,öncesi
kit,set
authorities,yetkililer
moaning,inilti
photograph,fotoğraf
sales,satış
fifty,elli
mickey,Mickey
beneath,altında
farewell,veda
clouds,bulutlar
slipped,kaymış
represent,temsil etmek
deaf,sağır
facing,bakan
offense,suç
citizen,vatandaş
clown,palyaço
snap,patlatmak
messing,dağınık
hood,kapüşon
twelve,on iki
interests,ilgi alanları
cheated,aldatılmış
liz,liz
informed,bilgili
humanity,insanlık
producer,üretici
technically,teknik olarak
accounts,hesaplar
extreme,aşırı
gettin,almak
cia,CIA
ii,II
pays,ödemek
profile,profil
oxygen,oksijen
jeez,jeez
gene,gen
shed,baraka
minor,küçük
ex,eski
theatre,tiyatro
scientific,ilmi
lovers,sevenler
chaos,kaos
l.a.,L.A.
rocket,roket
math,matematik
stubborn,inatçı
august,Ağustos
oi,oi
chips,çipler
intense,yoğun
grey,gri
talkin,konuşma
terrorist,terörist
angle,açı
invitation,davet
gus,gus
gambling,kumar
respond,cevap vermek
thirty,otuz
procedure,prosedür
absolute,mutlak
investigate,araştırmak
tragedy,trajedi
stable,kararlı
session,"oturum, toplantı, celse"
capture,ele geçirmek
marrying,evlenme
ripped,yırtık
attacks,saldırı
stretch,Uzatmak
bush,çalı
dates,tarih
unable,aciz
gates,kapılar
mars,Mars
artists,sanatçılar
increase,artırmak
tastes,tadı
cared,bakılmış
bottles,şişe
highest,en yüksek
whirring,pırıl pırıl
meanwhile,bu sırada
nate,natek
grabbed,yakalanmış
pigs,domuz
chop,kesmek
olivia,Olivia
wheels,tekerlekler
shocked,şok
reverend,saygısızlık
commercial,reklam
escort,eskort
engagement,nişanlanmak
corpse,ceset
louise,Louise
worthy,layık
scale,ölçek
beats,ritimler
williams,Williams
threatening,tehdit eden
exists,var olan
academy,akademi
acts,hareketler
hop,atlama
judges,hakimler
furniture,mobilya
shared,ortak
ralph,Ralph
consequences,sonuçlar
engineer,mühendis
schools,okul
softly,yumuşakça
bombs,bombalar
caroline,Caroline
shark,köpek balığı
transport,Ulaşım
population,nüfus
succeed,başarmak
creepy,ürpertici
sneak,gizlice gizlice girme
studies,çalışmalar
destruction,yıkım
keith,Keith
protected,korunan
monsters,canavarlar
joining,birleştirme
punished,cezalandırılmış
lightning,Şimşek
malcolm,Malcolm
shell,kabuk
fascinating,büyüleyici
chamber,bölme
ethan,Elatan
romance,romantik
instance,misal
jumping,atlama
groups,grup
exhausted,yorgun
testify,tanıklık etmek
studied,okudu
walker,yürüteç
pin,toplu iğne
imagined,hayal edilen
drill,delmek
investigating,soruşturma
ye,sen
experienced,Tecrübeli
elena,Elena
necklace,kolye
loyalty,bağlılık
junk,Önemsiz
cole,Cole
cries,çığlık
stanley,Stanley
rita,Rita
southern,güney
blocks,bloklar
emotions,duygular
begun,başlamak
maya,Maya
liver,karaciğer
serving,porsiyon
matches,maçlar
surgeon,Cerrah
granted,imtiyazlı
jazz,caz
july,Temmuz
supplies,tedarik
deeper,Daha derine
typical,tipik
kicking,tekme
obey,itaat etmek
dancer,dansçı
remote,uzak
daughters,kız çocukları
moron,moron
latin,Latince
teachers,öğretmen
toby,Toby
sandy,kumlu
dragged,sürüklenen
strategy,strateji
parent,ebeveyn
jin,jin
album,albüm
compared,karşılaştırmalı
rubbish,çöp
helpful,yardımsever
powder,pudra
sync,senkronize etmek
bum,seri
passes,geçer
joan,joan
fort,kale
choices,seçimler
alley,sokak
supper,akşam yemeği
penis,penis
alibi,mazeret
sammy,Sammy
pole,kutup
coke,kola
scientist,Bilim insanı
fighter,savaşçı
highway,karayolu
blade,bıçak ağzı
alpha,alfa
diet,diyet
liquor,likör
jet,jet
widow,dul
liberty,özgürlük
philip,philip
moral,ahlak
carrie,kara
award,ödül
grief,yas
thirsty,susuz
ashley,Ashley
random,rastgele
suspects,şüpheli
intention,niyet
julian,Julian
active,aktif
tools,araçlar
driven,sürmüş
trauma,travma
headache,baş ağrısı
safely,güvenli bir şekilde
alexander,İskender
knee,diz
lads,Delikanlilar
novel,roman
conversations,konuşmalar
waters,sular
lookin,arama konumu
invisible,görünmez
internal,dahili
peaceful,barışçıl
humming,uğultu
washed,yıkanmış
drives,sürücüler
talented,yetenekli
li,Li
aid,yardım
elephant,fil
troubles,sıkıntılar
core,çekirdek
serial,seri
s-,s-
painted,boyalı
the,.
divine,ilahi
jam,reçel
goat,keçi
opera,opera
thieves,hırsızlar
guessing,tahmin
objection,itiraz
whiskey,viski
florida,Florida
resistance,direnç
dressing,pansuman
attached,ekli
aaron,Aaron
brief,kısa bilgi
punish,cezalandırmak
eternal,sonsuz
lois,lois
and,ve
required,gereklidir
victoria,Victoria
fabulous,efsanevi
twins,ikizler
characters,karakter
cooked,pişmiş
ln,ln
ruth,Ruth
dreamed,hayal kırıklığına uğramış
arts,sanat
naughty,yaramaz
stabbed,bıçaklanmış
tend,Bakmak
diane,Diane
tap,musluk
soap,sabun
locker,dolap
development,gelişim
images,Görüntüler
prick,dikmek
global,küresel
string,sicim
bitter,acı
sharing,paylaşım
corn,Mısır
craig,Craig
fits,uygun
tent,çadır
forms,formlar
votes,oy
harold,harding
propose,"teklif etmek, önermek"
monica,Monica
constantly,sürekli
granny,büyükanne
nicely,güzelce
nerves,sinir
arguing,tartışma
abuse,taciz
relatives,akraba
survival,hayatta kalma
gloves,eldivenler
tracking,izleme
zoe,zikzak
u,u
bend,Bükmek
review,gözden geçirmek
connect,bağlamak
separated,ayrılmış
elder,yaşlı
beard,sakal
admiral,amiral
diana,Diana
salary,aylık maaş
areas,alanlar
disturb,bozmak
pro,profesyonel
maintain,sürdürmek
solved,çözülmüş
wealth,varlık
bitches,orospular
possession,mülk
sang,şarkı söyledi
gimme,hile yapmak
plates,tabaklar
shoulders,omuzlar
burnt,yanmış
recorded,kaydedilmiş
upper,üst
counts,sayılar
tale,masal
profit,kâr
colleague,çalışma arkadaşı
warehouse,depo
hostage,rehin
shore,sahil
porn,porno
miami,Miami
fifteen,on beş
visitors,Ziyaretçi
bo,Bö
net,açık
insult,hakaret
owen,Owen
cities,şehirler
causing,neden olan
lemon,Limon
heal,iyileşmek
banging,çarpıcı
honeymoon,balayı
appeal,temyiz
marshall,Marshall
critical,eleştirel
creating,yaratma
scotland,İskoçya
crane,vinç
enormous,kocaman
testimony,tanıklık
praise,övmek
fights,kavgalar
indians,Hintliler
commission,komisyon
growls,hırıltı
nicole,Nicole
sins,günah
fraud,sahtekar
branch,dal
happily,mutlulukla
bout,rastlamak
covering,kaplama
occurred,olmuş
beans,Fasulyeler
raw,çiğ
muscle,kas
pages,sayfa
tense,gerginlik
relationships,ilişkiler
management,yönetmek
assignment,atama
blonde,sarışın
catching,yakalayan
exposed,maruz 
canada,Kanada
dont,yok
han,Han
von,von
comedy,komedi
marco,Marco
stroke,inme
whistling,ıslık çalma
buildings,binalar
shaking,sallama
p.m.,öğleden sonra.
facility,tesis
appropriate,uygun
remarkable,dikkat çekici
transferred,transfer edilmiş
drawn,çizilmiş
tits,göğüsler
clicking,tıklama
symbol,sembol
motor,motor
employees,çalışanlar
ambassador,büyükelçi
mothers,anneler
pile,istif
feeding,besleme
soda,soda
checks,kontroller
bears,ayılar
cookies,kurabiye
slut,sürtük
awfully,çok
stepped,kademeli
toys,oyuncak
levels,seviyeler
differently,farklı
magnificent,muhteşem
steak,Biftek
tube,tüp
leaders,Liderler
superior,üst
herr,herr
pan,tava
expression,ifade
currently,şu anda
throne,taht
deadly,ölümcül
bee,bal arısı
tooth,diş
depressed,bunalımlı
potatoes,patates
wicked,kötü
resources,kaynaklar
native,yerli
centuries,yüzyıllar
karl,karl
poetry,şiir
multiple,çoklu
cable,kablo
shortly,kısa süre içinde
buzz,vızıltı
socks,çorap
fingerprints,parmak izleri
goddess,tanrıça
chin,Çene
anxious,endişeli
september,eylül
colors,renkler
basketball,Basketbol
promises,vaat
explained,açıklanmış
appearance,görünüm
musical,müzikal
sends,gönderir
slide,slayt
aii,AII
shawn,Shawn
ultimate,nihai
pork,domuz
communication,iletişim
payment,Ödeme
structure,yapı
paperwork,evrak işleri
obsessed,takıntılı
lazy,tembel
russians,Ruslar
actors,aktörler
squeeze,sıkmak
magical,büyülü
colleagues,iş arkadaşları
admire,beğenmek
madness,delilik
roads,yol
entry,giriş
injury,yaralanma
burden,sorumluluk
racing,yarışma
manner,tavır
freezing,dondurucu
bits,bitler
norman,Norman
mount,monte etmek
battery,pil
dessert,tatlı
pound,pound
visited,ziyaret
motel,motel
rumbling,guruldama
cinema,sinema
fond,düşkün
halfway,yarıya kadar
rifle,tüfek
reception,resepsiyon
statue,heykel
fridge,buzdolabı
brick,tuğla
abandon,terk etmek
lap,kucak
natalie,Natalie
wars,savaş
recommend,tavsiye etmek
brush,fırçalamak
nelson,Nelson
pill,hap
concept,kavram
w,w
delay,gecikme
quarters,çeyrek
korea,Kore
janet,Janet
rub,ovmak
mall,alışveriş merkezi
soil,toprak
complaint,şikayet
sail,denize açılmak
baker,fırıncı
coughs,öksürük
bucket,Kova
description,tanım
badge,rozet
measure,ölçüm
hip,belki
function,işlev
indistinctly,belirsiz bir şekilde
harris,Harris
foundation,Yapı temeli
labor,emek
willie,Willie
waiter,garson
homeless,evsiz
proved,kanıtlanmış
unfortunate,talihsiz
log,kayıt
meetings,toplantılar
giggles,kıkırdama
combat,savaşmak
poem,şiir
polish,Lehçe
handed,eli
mia,MIA
weed,esrar
raymond,Raymond
tons,ton
satellite,uydu
jersey,Jersey
eagle,kartal
privacy,mahremiyet
chapter,bölüm
treating,tedavi
wisdom,bilgelik
flip,ters çevirme
entering,girme
barn,ahır
farmer,çiftçi
clan,klan
budget,bütçe
pub,pub
temporary,geçici
effective,etkili
sonny,oğul
wendy,Wendy
juan,Juan
lamb,Kuzu
plot,komplo
riley,Riley
proposal,teklif
sticks,sopa
searched,aranmış
blessing,nimet
rage,öfkelenmek
bothered,rahatsız
sydney,Sydney
basis,temel
manners,töre
recover,kurtarmak
twist,bükmek
neil,Neil
leak,sızıntı
item,öğe
catholic,Katolik
sighing,iç çeken
retired,emekli
kings,Krallar
inner,iç
cents,sentler
affect,etkilemek
forbidden,yasaklı
patch,yama
drops,damla
necessarily,zorunlu olarak
provided,sağlanan
meters,metre
booked,rezerve edilmiş
returns,İadeler
gloria,Gloria
fires,yangın
humor,Mizah
torn,yırtılmış
e-mail,e-posta
rocky,kayalık
introduced,tanıtılmış
creative,yaratıcı
betray,ihanet etmek
soviet,Sovyet
various,çeşitli
added,katma
discovery,keşif
cowboy,kovboy
suspected,şüpheli
suggested,önerildi
delighted,memnun
sticking,yapışkan
dive,dalmak
shane,shane
radar,radar
prosecutor,Savcı
amber,kehribar
vast,büyüklük
quinn,quinn
owned,sahip olduğu
cookie,kurabiye
finest,en iyi
felix,felix
pump,pompa
valentine,sevgili
counter,tezgah
sorts,türler
coin,madeni para
warren,Warren
slaves,köleler
marine,deniz
illness,hastalık
sack,çuval
bid,teklif etmek
require,gerekmek
moscow,Moskova
largest,en büyük
washing,yıkama
achieve,başarmak
causes,nedenler
k,K
mo,mo
dope,Uyuşturucu
nest,yuva
palm,avuç içi
logan,Logan
constant,devamlı
b.,b.
boo,kehanet
medication,ilaç tedavisi
gravity,yer çekimi
booze,içki içmek
noah,Nuh
evan,Evan
abroad,yurt dışına
christine,Christine
rising,yükselen
analysis,analiz
cuts,kesikler
eats,yiyor
employee,çalışan
vodka,votka
damaged,hasarlı
solar,güneş
height,boy uzunluğu
pops,pops
yards,bahçeler
terrified,dehşete kapılmış
suitcase,bavul
chemical,kimyasal
preparing,hazırlama
advanced,ileri
fund,"fon, sermaye"
wears,giysiler
chirping,cıvıl cıvıl
web,ağ
phase,evre
prom,balo
suggesting,önermek
fleet,filo
lame,sakatlamak
irish,İrlandalı
editor,editör
october,Ekim
assumed,varsayılmış
whip,kırbaçlamak
mel,Mel
region,bölge
amongst,arasında
temper,temper
discussion,tartışma
engines,motorlar
operate,çalıştırmak
sunshine,güneş ışığı
acted,hareketli
undercover,gizli
horror,korku
tested,test edilmiş
smash,paramparça etmek
contrary,aksine
roses,gül gülleri
poker,poker
wrapped,sarılmış
korean,Koreli
graham,Graham
mi,mi
fu,fu
ivan,Ivan
focused,odaklanmış
liam,Liam
tragic,trajik
carla,Carla
demons,iblis
rounds,turlar
entertainment,eğlence
gathered,toplanmış
uhh,uhh
yells,bağırır
lincoln,Lincoln
crossing,geçit
blanket,battaniye
nut,fındık
travis,Travis
pockets,cepler
limited,sınırlı
paintings,resimler
sober,ayık
caesar,Sezar
sis,sis
intended,amaçlanan
niece,yeğen
computers,bilgisayar
tennis,tenis
needle,iğne
chicks,civcivler
traditional,geleneksel
delicate,narin
independent,bağımsız
leslie,Leslie
lauren,Lauren
grandson,erkek torun
repair,onarım
a.,a.
brandon,Brandon
executive,yönetici
colin,Colin
recognized,tanınmış
holmes,Holmes
regarding,ilişkin
weakness,zayıflık
aliens,uzaylılar
gunshots,silah atışları
european,Avrupalı
method,yöntem
tool,alet
demands,Talepler
permit,izin vermek
towel,havlu
daisy,papatya
nowadays,şu günlerde
spider,örümcek
northern,kuzey
rangers,Rangers
zoo,hayvanat bahçesi
praying,dua etme
antonio,Antonio
passengers,yolcular
con,vasiyetname
australia,Avustralya
technique,teknik
cellphone,cep telefonu
gently,nazikçe
operations,operasyonlar
planes,yüzeyleri
bunny,tavşan
gunfire,silah sesleri
shining,parlıyor
backwards,geriye doğru
skill,beceri
uh-,uh-
baron,baron
kidnapping,kaçırma
iike,Iike
marshal,Mareşal
petty,küçük
sealed,Mühürlü
massage,masaj
raising,yükselen
menu,Menü
diary,günlük
fucker,Pezevenk
wagon,vagon
audition,seçme
mitch,mitch
mexican,Meksikalı
casino,kumarhane
bacon,domuz pastırması
diego,Diego
dutch,Flemenkçe
promotion,terfi
click,Tıklayın
forgiveness,affetme
burst,patlamak
permanent,kalıcı
interfere,karışmak
chanting,zikretme
dammit,lanetlemek
spencer,Spencer
recovered,kurtarılmış
registered,kayıtlı
sunny,güneşli
packing,paketleme
scenes,sahneler
superman,Süpermen
questioning,sorgulama
unfair,haksız
admitted,kabul edilmiş
ancestors,atalar
polite,kibar
completed,Tamamlandı
swallow,Yutmak
conduct,yönetmek
prayers,dualar
sheet,çarşaf
fried,kızarmış
avenue,Bulvar
poisoned,zehirli
reverse,ters
newspapers,gazeteler
ford,ford
complaining,şikayet
senses,duyular
investment,yatırım
absurd,absürt
potato,Patates
understands,anlar
grows,büyür
inspired,esinlenilmiş
ruby,yakut
celebrating,kutlama
tag,etiket
ram,Veri deposu
requires,gereklilikler
bonnie,Bonnie
bugs,böcek
leonard,leonard
elliot,elliot
hooked,bağlanmış
jill,Jill
ranch,çiftlik
safer,daha güvenli
worn,yıpranmış
crashing,çökme
lands,topraklar
heather,Heather
ash,kül
leather,deri
grounds,zemin
assuming,varsayarak
nails,çiviler
dana,Dana
conspiracy,komplo
thanksgiving,Şükran Günü
pierre,Pierre
guardian,Muhafız
rumors,söylentiler
yen,yen
megan,Megan
ashes,küller
terror,terör
misunderstanding,yanlış anlama
tire,tekerlek
boats,tekne
parade,geçit töreni
halt,durma
immunity,dokunulmazlık
adults,yetişkinler
steam,buhar
kang,kang
closely,yakından
pearl,inci
soccer,Futbol
adrian,Adrian
priority,öncelik
shouts,bağırmak
donald,Donald
happier,daha mutlu
khan,Kağan
struggling,mücadele etme
root,kök
larger,daha büyük
november,Kasım
boot,bot
conflict,anlaşmazlık
laughed,güldü
debbie,Debbie
cherry,Kiraz
honking,hon
concerns,endişeler
celebration,kutlama
sore,yara
unconscious,bilinçsiz
cattle,sığırlar
breasts,göğüsler
fairly,adil bir şekilde
fee,ücret
recognise,tanımak
wade,sallanmak
radiation,radyasyon
holidays,Bayram
raining,yağmur
forgetting,unutma
lungs,akciğer
register,Kayıt ol
shadows,gölgeler
specifically,özellikle
sarge,Çavuş
ideal,ideal
turtle,kaplumbağa
spoil,şımartmak
deserved,hak etmiş
ronnie,Ronnie
gina,gina
candidate,aday
lance,mızrak
types,türler
bloke,kandırmak
explode,patlamak
immediate,hemen
belonged,ait
identified,tanımlanmış
di,di
hunger,açlık
closest,en yakın
combination,kombinasyon
nanny,dadı
seth,Seth
gabriel,Gabriel
develop,geliştirmek
detectives,dedektifler
severe,haşin
en,en
organized,organize edilmiş
franklin,Franklin
gut,bağırsak
splendid,görkemli
dismissed,işten
pm,öğleden sonra
yang,yang
halloween,Cadılar Bayramı
ellie,ellie
vulnerable,hassas
continued,devam etti
vital,hayati
comrades,Yoldaşlar
bureau,büro
drawer,çekmece
harper,Harper
retreat,geri çekilmek
carson,carson
benny,Benny
pillow,yastık
troy,troy
ace,as
cart,araba
nap,kestirme
chan,chan
ham,jambon
announce,duyurmak
borrowed,ödünç alınmış
parked,park edilmiş
galaxy,gökada
voted,oy kullanılmış
muffled,boğuk
sebastian,Sebastian
mmm-hmm,mmm-hmm
jewelry,takı
kisses,Öpücükler
luggage,valiz
groom,damat
oops,oops
lighter,daha hafif
masters,ustalar
alliance,ittifak
buddies,arkadaşlar
clothing,Giyim
denied,inkar
drown,bastırmak
alike,aynı
excellency,Ekselanslar
relative,akraba
photographs,fotoğraflar
burger,burger
dough,Hamur
alicia,Alicia
wreck,enkaz
approve,onaylamak
produced,üretilmiş
christina,Christina
physically,fiziksel olarak
stations,istasyonlar
eli,Eli
samantha,Samantha
spiritual,manevi
sire,hile
roaring,kükreyen
stab,bıçaklamak
inch,inç
servants,hizmetkar
limits,sınırlar
unexpected,beklenmedik
arrival,varış
whimpering,fısıldayan
basket,sepet
sheets,çarşaflar
scandal,skandal
stink,kokuşmak
homer,homer
tara,Tara
christopher,Christopher
toes,ayak parmakları
t-,t-
shield,kalkan
shooter,atıcı
instant,ani
objects,nesneler
rehearsal,tekrarlamak
disturbing,rahatsız edici
directed,yönlendirilmiş
scan,taramak
electronic,elektronik
republic,cumhuriyet
overnight,bir gecede
counsel,danışmanlık
sirens,sirenler
dorothy,Dorothy
bait,yem
dignity,haysiyet
explains,açıklıyor
lean,eğilmek
heroin,eroin
tracy,Tracy
rex,Rex
barney,Barney
gossip,dedikodu
humble,mütevazı
economy,ekonomi
worlds,dünyalar
impress,etkilemek
clara,Clara
tissue,doku
threaten,tehdit etmek
et,ET
bump,çarpmak
supreme,yüce
bingo,Bingo
mitchell,Mitchell
excitement,heyecanlanmak
mankind,insanlık
document,belge
broad,kalın
vietnam,Vietnam
vessel,Gemi
lit,Aydınlatılmış
dale,dalga
killers,katiller
connor,Connor
mario,Mario
foul,faul
stare,dik dik dikmek
deaths,ölümler
hut,kulübe
elements,elementler
coma,koma
laying,döşeme
coffin,tabut
paula,Paula
cocaine,kokain
puppy,köpek yavrusu
louder,yüksek sesli
handled,işlenmiş
announcement,duyuru
oath,yemin
mob,mafya
cotton,pamuk
deposit,Depozito
taxes,vergi
injuries,yaralanma
jen,Jen
autopsy,otopsi
advise,öğüt vermek
gig,konser vermek
lecture,ders
posted,gönderildi
skinny,sıska
lo,lo
include,Dahil etmek
revealed,açıklığa kavuşmuş
infected,enfekte
relieved,rahatlamak
assistance,yardım
solo,solo
determine,belirlemek
terrorists,teröristler
elsewhere,başka bir yerde
lamp,Lamba
practical,pratik
marked,işaretlenmiş
adorable,sevimli
rubber,lastik
purple,mor
operating,işletme
suite,süit
apologies,özür dilerim
personnel,personel
beam,kiriş
poet,şair
samples,örnekler
arrow,ok
counselor,danışman
carpet,halı
allen,allen
audrey,Audrey
spotted,benekli
floating,yüzer
corrected,düzeltilmiş
located,yerleşmiş
journalist,gazeteci
insisted,ısrar etti
operator,Şebeke
rely,güvenmek
singh,singh
fooled,kandırılmış
arrives,geldiğinde
i.d.,İD.
leon,leon
walt,Walt
eastern,doğu
ay,ayyaş
shave,tıraş olmak
remaining,geriye kalan
toss,atmak
anderson,Anderson
lip,dudak
acid,asit
nora,Nora
si,si
december,aralık
anonymous,anonim
inn,Han
planted,dikilmiş
oldest,en eski
breast,meme
sixth,altıncı
error,hata
reporting,raporlama
egypt,Mısır
islands,adalar
brother-in-law,kayınbirader
jules,Jules
roommate,oda arkadaşı
sings,şarkı söyler
scum,pislik
visitor,ziyaretçi
giggling,kıkırdayan
described,tanımlanmış
geez,geez
inches,inç
commitment,bağlılık
hercules,Herkül
react,tepki
cows,inek
protest,protesto
misery,sefalet
theft,Çalınması
embrace,kucaklamak
darn,lanetlemek
harsh,sert
andrea,Andrea
communicate,iletişim
fathers,Babalar
faithful,sadık
hector,Hector
uh-uh,uh-uh
flame,alev
medal,madalya
silk,ipek
photographer,fotoğrafçı
trevor,trevor
cemetery,mezarlık
rear,arka
freddy,freddy
banana,muz
allison,Allison
emotion,duygu
chap,Çatlak
dated,tarihli
excuses,mazeret
shitty,boktan
bin,çöp Kutusu
jew,Yahudi
gum,sakız
crushed,ezilmiş
efforts,çabalar
content,içerik
corporal,onbaşı
realised,gerçekleştirilmiş
del,Del
rap,rap
hopeless,Umutsuz
debate,çekişme
era,dönem
luckily,neyse ki
ton,ton
liquid,sıvı
swell,kabarma
peggy,peggy
feast,bayram
murphy,murphy
attracted,çekilmiş
application,uygulama
profession,meslek
bench,Bank
vanessa,Vanessa
ahem,ahem
symptoms,semptomlar
scout,izci
crashed,çökmüş
keen,hevesli
aircraft,uçak
formed,oluşturulan
hon,hon
aggressive,agresif
pale,solgun
significant,önemli
duncan,Duncan
clubs,kulüpler
visual,görsel
embassy,elçilik
defence,savunma
cabinet,kabine
display,Görüntüle
fame,şöhret
gibbs,Gibbs
drowned,boğuldu
wolves,Kurtlar
filming,çekim
dunno,hile
cursed,lanetli
twin,ikiz
sorrow,üzüntü
vault,kasa
defeated,yenilmiş
watson,Watson
quote,alıntı yapmak
penalty,ceza
bargain,pazarlık
pepper,biber
speaker,konuşmacı
compare,karşılaştırmak
satan,Şeytan
helmet,kask
scar,yara izi
copies,kopyalar
fuss,yaygara
envelope,mektup
perry,perry
stinks,kokuyor
african,Afrikalı
arrangements,düzenlemeler
wished,dilek
honored,onurlu
believing,inanan
discussed,tartışılmış
assigned,atanmış
rosa,Rosa
oven,fırın
jenna,Jenna
attacking,saldıran
tin,teneke
sonic,sonik
collar,yaka
mere,sadece
romeo,Romeo
belief,inanç
storage,depolamak
rusty,paslı
psycho,psiko
climbing,Tırmanmak
melissa,Melissa
fears,korkular
sum,özet
dedicated,özel
ladder,merdiven
alternative,alternatif
raid,yağma
dining,yemek
ms,Hanım
corporate,Kurumsal
folk,halk
jon,Jon
replaced,değiştirilmiş
bailey,Bailey
un,BM
heels,topuklu
duties,görevler
smarter,daha akıllı
existed,var olan
surprising,şaşırtıcı
chess,satranç
requested,talep edilen
cruise,seyir
primary,öncelik
rhythm,ritim
drum,davul
models,modeller
motorcycle,motosiklet
adopted,kabul edilen
barrel,varil
cargo,kargo
planets,gezegenler
shove,kıpırdamak
wha,ne
surprises,sürprizler
rosie,Rosie
dings,dings
trailer,tanıtım videosu
cannon,top
tables,tablolar
arse,eşek
ally,müttefik
lawrence,Lawrence
wee,çiş
tapes,bantlar
dull,sıkıcı
sandra,Sandra
teenage,gençlik
kent,Kent
cooperate,işbirliği yapmak
risks,riskler
dug,kazımak
worthless,değersiz
arriving,gelen
kindness,nezaket
ties,bağlar
items,öğeler
and-,ve-
grip,kavramak
relations,ilişkiler
rumor,söylenti
skirt,etek
frog,kurbağa
paige,paige
lloyd,Lloyd
claimed,iddia edilen
perfume,parfüm
instrumental,enstrümantal
flames,alevler
association,bağlantı
loses,kaybetmek
january,Ocak ayı
spike,başak
israel,İsrail
eleven,on bir
gallery,galeri
ginger,Zencefil
activities,faaliyetler
iraq,Irak
boarding,biniş
fist,yumruk
stuffed,doldurulmuş
improve,geliştirmek
creation,yaratılış
connie,Connie
infection,enfeksiyon
strikes,Grevler
wiped,silinmiş
tension,tansiyon
whistles,ıslık
kindly,nazikçe
certificate,sertifika
curtis,Curtis
bold,gözü pek
threats,tehdit
claudia,Claudia
sid,sid
twisted,bükülmüş
suspended,askıya alındı
affected,etkilenen
envy,imrenmek
whale,balina
dial,aramak
cameron,Cameron
martial,dövüş
controlled,kontrollü
lung,akciğer
nigga,zenci
coal,kömür
upside,üst taraf
imperial,emperyal
pam,pam
paranoid,paranoyak
signing,imza
congress,kongre
villa,villa
candles,mum
filling,dolgu
becky,Becky
comic,çizgi roman
faint,baygın
recovery,kurtarma
volunteer,gönüllü
tech,teknoloji
bleed,kanama
positions,pozisyonlar
cindy,Cindy
narrow,dar
forbid,yasaklamak
stuart,Stuart
perspective,perspektif
faced,yüzlü
neat,düzenli
pierce,delmek
observe,gözlemek
cycle,Çevrim
psychic,psişik
handling,işleme
goose,Kaz
accidentally,kazara
conclusion,çözüm
designer,tasarımcı
sits,oturuyor
importance,önem
spots,lekeler
francs,franklar
sweep,süpürmek
destroying,yok etme
communist,komünist
blackmail,şantaj
pacific,Pasifik
risky,riskli
glorious,görkemli
filed,dosyalanmış
hatred,kin
cam,kam
deals,fırsatlar
pos,pos
fooling,kandırma
persons,kişiler
scotch,İskoç
executed,uygulanmış
brakes,fren
blank,boşluk
tender,sunmak
kurt,Kurt
turner,turniye
tub,küvet
sucker,enayi
slight,hafif
addition,ilave
campus,yerleşke
